Id,Author,Message,Timestamp,Location
0,mivh,Yooooooooooooooooooooo,1789042792,eee
1,mivh,Whatssss upppp,1789043346,eee
2,ropf,"A bird at DR Byen",1690891760,eee
3,adho,"I think that is a Heron at DR Byen",1690978778,eee
4,edka,"Ardea cinerea at DR Byen",1690979858,eee
5,dmkyh,"Heron at DR Byen",1787916063,eee
6,dmkyh,"Pidgeon at ITU",1787917192,eee
7,dmkyh,"Pidgeon at ITU",1787917366,eee
8,dmkyh,"Pidgeon at ITU",1787917901,eee
9,honningbolden,Oxe at ITU,1788523350,eee
10,mivh,I HATE BISONS,1789043390,eee
11,mivh,GOD I FUCKING HATE THEM,1789043408,eee
12,mivh,YEDS,1789043507,eee
13,mivh,YEDSloo,1789043537,eee
14,dmkyh,"I love bisons, get that guy off this app!!!!",1789729105,ITU
15,honningbolden,penis,1789737687,ITU
16,honningbolden,penis,1789738200,ITU
17,honningbolden,penissimo,1789738684,ITUUUUU
